Country,Molluscs,Other_Invertebrates,Plants,Fungi_Protists,Total,Continent,Region,species_type,thr_count
Holy See (Vatican City State),0,0,0,0,1,Europe,Europe,Birds,0
Hungary,8,26,43,2,105,Europe,Europe,Birds,13
Iceland,0,0,0,0,29,Europe,Europe,Birds,7
Ireland,4,2,3,2,54,Europe,Europe,Birds,9
Isle of Man,0,0,0,0,2,Europe,Europe,Birds,0
Italy,83,139,102,9,423,Europe,Europe,Birds,17
Jersey,1,0,0,0,7,Europe,Europe,Birds,0
Latvia,4,8,0,1,31,Europe,Europe,Birds,11
Liechtenstein,2,4,0,0,8,Europe,Europe,Birds,2
Lithuania,3,5,1,1,28,Europe,Europe,Birds,10
Luxembourg,5,2,0,0,11,Europe,Europe,Birds,3
"Macedonia, the former Yugoslav Republic of",71,15,4,1,125,Europe,Europe,Birds,13
Malta,3,2,4,0,39,Europe,Europe,Birds,5
Monaco,1,2,1,0,22,Europe,Europe,Birds,0
Montenegro,22,20,3,0,101,Europe,Europe,Birds,13
Netherlands,5,6,1,3,43,Europe,Europe,Birds,10
Norway,3,7,10,11,73,Europe,Europe,Birds,11
Poland,7,21,11,3,65,Europe,Europe,Birds,11
Portugal,86,118,101,4,410,Europe,Europe,Birds,15
Romania,25,43,7,0,125,Europe,Europe,Birds,17
San Marino,1,0,0,0,1,Europe,Europe,Birds,0
Serbia,8,27,6,1,77,Europe,Europe,Birds,13
Slovakia,7,25,25,3,81,Europe,Europe,Birds,12
Slovenia,32,51,7,4,147,Europe,Europe,Birds,10
Spain,164,124,247,6,686,Europe,Europe,Birds,19
Svalbard and Jan Mayen,0,0,0,0,10,Europe,Europe,Birds,4
Sweden,4,12,5,10,58,Europe,Europe,Birds,11
Switzerland,10,37,4,6,79,Europe,Europe,Birds,9
United Kingdom,7,13,42,6,133,Europe,Europe,Birds,11
Belize,0,12,46,0,130,North America,Mesoamerica,Birds,6
Costa Rica,1,30,143,0,349,North America,Mesoamerica,Birds,27
El Salvador,0,10,33,0,92,North America,Mesoamerica,Birds,7
Guatemala,2,11,120,0,315,North America,Mesoamerica,Birds,17
Honduras,0,21,134,0,317,North America,Mesoamerica,Birds,14
Mexico,8,103,484,1,1261,North America,Mesoamerica,Birds,71
Nicaragua,2,18,50,0,153,North America,Mesoamerica,Birds,17
Panama,0,22,212,0,392,North America,Mesoamerica,Birds,25
Anguilla,0,10,4,0,56,North America,Caribbean Islands,Birds,0
Antigua and Barbuda,0,11,4,0,58,North America,Caribbean Islands,Birds,3
Aruba,1,1,2,0,34,North America,Caribbean Islands,Birds,2
Bahamas,1,11,7,0,88,North America,Caribbean Islands,Birds,10
Barbados,0,11,3,0,57,North America,Caribbean Islands,Birds,4
Bermuda,0,28,8,0,74,North America,Caribbean Islands,Birds,3
"Bonaire, Sint Eustatius and Saba",0,11,3,0,57,North America,Caribbean Islands,Birds,2
Cayman Islands,1,10,22,0,75,North America,Caribbean Islands,Birds,3
Cuba,0,23,179,0,348,North America,Caribbean Islands,Birds,19
Curacao,0,11,2,0,51,North America,Caribbean Islands,Birds,2
Dominica,0,11,12,0,69,North America,Caribbean Islands,Birds,7
Dominican Republic,0,16,47,0,195,North America,Caribbean Islands,Birds,17
Grenada,0,10,3,0,55,North America,Caribbean Islands,Birds,2
Guadeloupe,1,15,10,0,78,North America,Caribbean Islands,Birds,5
Haiti,0,14,93,0,261,North America,Caribbean Islands,Birds,17
Jamaica,0,15,215,0,318,North America,Caribbean Islands,Birds,11
Martinique,2,0,9,0,54,North America,Caribbean Islands,Birds,6
Montserrat,0,11,6,0,58,North America,Caribbean Islands,Birds,4
Puerto Rico,0,0,64,0,139,North America,Caribbean Islands,Birds,11
Saint Barth_lemy,0,11,2,0,38,North America,Caribbean Islands,Birds,0
Saint Kitts and Nevis,0,10,2,0,54,North America,Caribbean Islands,Birds,3
Saint Lucia,0,11,7,0,64,North America,Caribbean Islands,Birds,7
Saint Martin (French part),0,10,3,0,55,North America,Caribbean Islands,Birds,1
Saint Vincent and the Grenadines,0,10,6,0,60,North America,Caribbean Islands,Birds,4
Sint Maarten (Dutch part),0,10,3,0,55,North America,Caribbean Islands,Birds,1
Trinidad and Tobago,0,10,50,0,119,North America,Caribbean Islands,Birds,5
Turks and Caicos Islands,0,10,9,0,62,North America,Caribbean Islands,Birds,4
"Virgin Islands, British",0,10,20,0,81,North America,Caribbean Islands,Birds,3
"Virgin Islands, U.S.",0,0,17,0,66,North America,Caribbean Islands,Birds,3
Canada,17,20,18,7,155,North America,North America,Birds,24
Saint Pierre and Miquelon,0,0,0,0,16,North America,North America,Birds,9
United States,311,269,510,24,1589,North America,North America,Birds,91
Argentina,0,14,70,1,273,South America,South America,Birds,52
"Bolivia, Plurinational States of",2,1,106,0,239,South America,South America,Birds,55
Brazil,22,34,558,0,1027,South America,South America,Birds,175
Chile,1,12,73,0,221,South America,South America,Birds,35
Colombia,4,49,268,0,861,South America,South America,Birds,126
Ecuador,49,21,1859,7,2372,South America,South America,Birds,106
Falkland Islands (Malvinas),0,0,5,0,22,South America,South America,Birds,8
French Guiana,0,0,18,0,74,South America,South America,Birds,8
Guyana,0,1,30,0,106,South America,South America,Birds,16
Paraguay,0,0,20,0,64,South America,South America,Birds,27
Peru,4,4,328,0,721,South America,South America,Birds,119
Suriname,0,1,27,0,85,South America,South America,Birds,9
Uruguay,0,2,22,0,112,South America,South America,Birds,22
"Venezuela, Bolivarian Republic of",1,25,86,0,342,South America,South America,Birds,52
American Samoa,5,60,1,0,93,Oceania,Oceania,Birds,8
Australia,174,360,108,1,1005,Oceania,Oceania,Birds,52
Christmas Island,0,19,1,0,40,Oceania,Oceania,Birds,4
Cocos (Keeling) Islands,0,20,0,0,35,Oceania,Oceania,Birds,1
Cook Islands,0,32,11,0,74,Oceania,Oceania,Birds,16
Fiji,68,97,78,0,300,Oceania,Oceania,Birds,14
French Polynesia,31,31,48,0,176,Oceania,Oceania,Birds,35
Guam,6,54,5,0,101,Oceania,Oceania,Birds,14
Kiribati,1,80,0,0,105,Oceania,Oceania,Birds,6
Marshall Islands,1,72,0,0,100,Oceania,Oceania,Birds,4
"Micronesia, Federated States of",3,111,5,0,168,Oceania,Oceania,Birds,12
Nauru,0,68,0,0,83,Oceania,Oceania,Birds,2
New Caledonia,28,97,350,0,592,Oceania,Oceania,Birds,17
New Zealand,35,26,21,3,219,Oceania,Oceania,Birds,69
Niue,0,30,0,0,51,Oceania,Oceania,Birds,8
Norfolk Island,12,11,2,0,45,Oceania,Oceania,Birds,11
Northern Mariana Islands,4,53,6,0,101,Oceania,Oceania,Birds,17
Palau,40,106,5,0,185,Oceania,Oceania,Birds,6
Papua New Guinea,2,176,179,2,524,Oceania,Oceania,Birds,39
Pitcairn,5,11,7,0,42,Oceania,Oceania,Birds,10
Samoa,1,62,2,0,94,Oceania,Oceania,Birds,6
Solomon Islands,2,148,16,0,241,Oceania,Oceania,Birds,24
Tokelau,0,35,0,0,49,Oceania,Oceania,Birds,1
Tonga,4,43,5,0,80,Oceania,Oceania,Birds,5
Tuvalu,1,77,0,0,97,Oceania,Oceania,Birds,1
United States Minor Outlying Islands,0,47,0,0,70,Oceania,Oceania,Birds,11
Vanuatu,3,88,10,0,139,Oceania,Oceania,Birds,8
Wallis and Futuna,0,64,1,0,88,Oceania,Oceania,Birds,9
Algeria,11,29,22,0,143,Africa,North Africa,Reptiles,8
Egypt,0,56,8,0,167,Africa,North Africa,Reptiles,13
Libya,0,4,7,0,67,Africa,North Africa,Reptiles,6
Morocco,37,32,52,2,228,Africa,North Africa,Reptiles,13
Tunisia,7,13,9,0,100,Africa,North Africa,Reptiles,6
Western Sahara,2,1,0,0,52,Africa,North Africa,Reptiles,1
Angola,7,4,34,0,155,Africa,Sub-Saharan Africa,Reptiles,7
Benin,2,1,20,0,95,Africa,Sub-Saharan Africa,Reptiles,7
Botswana,0,0,3,0,33,Africa,Sub-Saharan Africa,Reptiles,1
Burkina Faso,1,0,4,0,33,Africa,Sub-Saharan Africa,Reptiles,3
Burundi,3,3,89,0,142,Africa,Sub-Saharan Africa,Reptiles,0
Cabo Verde,13,0,51,0,116,Africa,Sub-Saharan Africa,Reptiles,6
Cameroon,13,12,555,0,846,Africa,Sub-Saharan Africa,Reptiles,13
Central African Republic,0,0,26,0,66,Africa,Sub-Saharan Africa,Reptiles,5
Chad,4,0,6,0,48,Africa,Sub-Saharan Africa,Reptiles,5
Comoros,0,76,9,0,120,Africa,Sub-Saharan Africa,Reptiles,5
Congo,7,0,46,0,139,Africa,Sub-Saharan Africa,Reptiles,6
"Congo, The Democratic Republic of the",44,10,148,0,390,Africa,Sub-Saharan Africa,Reptiles,9
Cªte d'Ivoire,5,2,118,0,262,Africa,Sub-Saharan Africa,Reptiles,8
Djibouti,1,56,3,0,107,Africa,Sub-Saharan Africa,Reptiles,1
Equatorial Guinea,2,2,98,0,187,Africa,Sub-Saharan Africa,Reptiles,8
Eritrea,1,57,6,0,136,Africa,Sub-Saharan Africa,Reptiles,7
Eswatini,0,0,13,0,41,Africa,Sub-Saharan Africa,Reptiles,1
Ethiopia,4,11,64,0,177,Africa,Sub-Saharan Africa,Reptiles,3
Gabon,2,2,173,0,284,Africa,Sub-Saharan Africa,Reptiles,7
Gambia,2,0,6,0,73,Africa,Sub-Saharan Africa,Reptiles,6
Ghana,2,3,119,0,245,Africa,Sub-Saharan Africa,Reptiles,8
Guinea,3,5,70,0,218,Africa,Sub-Saharan Africa,Reptiles,9
Guinea-Bissau,2,0,6,0,83,Africa,Sub-Saharan Africa,Reptiles,8
Kenya,20,71,243,0,505,Africa,Sub-Saharan Africa,Reptiles,12
Lesotho,0,3,4,0,20,Africa,Sub-Saharan Africa,Reptiles,0
Liberia,3,7,53,0,177,Africa,Sub-Saharan Africa,Reptiles,8
Madagascar,35,159,1111,0,1858,Africa,Sub-Saharan Africa,Reptiles,139
Malawi,7,7,34,0,122,Africa,Sub-Saharan Africa,Reptiles,4
Mali,0,0,12,0,49,Africa,Sub-Saharan Africa,Reptiles,4
Mauritania,2,1,0,0,91,Africa,Sub-Saharan Africa,Reptiles,6
Mauritius,29,91,91,0,262,Africa,Sub-Saharan Africa,Reptiles,11
Mayotte,0,70,3,0,93,Africa,Sub-Saharan Africa,Reptiles,7
Mozambique,0,64,145,0,347,Africa,Sub-Saharan Africa,Reptiles,14
Namibia,2,2,27,0,117,Africa,Sub-Saharan Africa,Reptiles,6
Niger,1,0,4,0,38,Africa,Sub-Saharan Africa,Reptiles,3
Nigeria,3,10,205,0,368,Africa,Sub-Saharan Africa,Reptiles,13
R_union,17,72,18,0,132,Africa,Sub-Saharan Africa,Reptiles,0
Rwanda,0,4,41,0,98,Africa,Sub-Saharan Africa,Reptiles,0
"Saint Helena, Ascension and Tristan da Cunha",1,67,44,1,153,Africa,Sub-Saharan Africa,Reptiles,2
Sao Tome and Principe,3,1,49,0,102,Africa,Sub-Saharan Africa,Reptiles,5
Senegal,12,1,14,0,132,Africa,Sub-Saharan Africa,Reptiles,9
Seychelles,37,283,61,0,441,Africa,SSub-Saharan Africa,Reptiles,11
Sierra Leone,5,3,72,0,187,Africa,Sub-Saharan Africa,Reptiles,9
Somalia,2,60,49,0,185,Africa,Sub-Saharan Africa,Reptiles,6
South Africa,22,186,153,0,602,Africa,Sub-Saharan Africa,Reptiles,20
South Sudan,0,1,17,0,57,Africa,Sub-Saharan Africa,Reptiles,4
Sudan,0,50,17,0,147,Africa,Sub-Saharan Africa,Reptiles,6
"Tanzania, United Republic of",11,136,644,0,1155,Africa,Sub-Saharan Africa,Reptiles,34
Togo,2,1,13,0,88,Africa,Sub-Saharan Africa,Reptiles,6
Uganda,14,16,64,0,221,Africa,Sub-Saharan Africa,Reptiles,4
Zambia,12,2,23,0,92,Africa,Sub-Saharan Africa,Reptiles,2
Zimbabwe,0,7,52,0,102,Africa,Sub-Saharan Africa,Reptiles,4
Antarctica,0,0,0,0,6,Antarctica,Antarctica,Reptiles,0
Bouvet Island,0,0,0,0,3,Antarctica,Antarctica,Reptiles,0
French Southern Territories,0,0,1,0,28,Antarctica,Antarctica,Reptiles,4
Heard Island and McDonald Islands,0,0,0,0,12,Antarctica,Antarctica,Reptiles,0
South Georgia and the South Sandwich Islands,0,0,0,0,9,Antarctica,Antarctica,Reptiles,0
China,15,61,593,1,1105,Asia,East Asia,Reptiles,43
Hong Kong,1,7,10,0,68,Asia,East Asia,Reptiles,5
Japan,33,142,50,4,429,Asia,East Asia,Reptiles,25
"Korea, Democratic People's Republic of",0,3,17,0,82,Asia,East Asia,Reptiles,2
"Korea, Republic of",0,8,31,1,119,Asia,East Asia,Reptiles,3
Macao,0,1,0,0,15,Asia,East Asia,Reptiles,1
Mongolia,0,3,0,0,40,Asia,East Asia,Reptiles,0
"Taiwan, Province of China",1,127,85,1,342,Asia,East Asia,Reptiles,9
Belarus,3,7,1,0,26,Asia,North Asia,Reptiles,0
Moldova,2,4,2,0,33,Asia,North Asia,Reptiles,2
Russian Federation,8,31,56,5,239,Asia,North Asia,Reptiles,9
Ukraine,9,29,22,1,114,Asia,North Asia,Reptiles,1
Bangladesh,0,7,23,0,156,Asia,South & Southeast Asia,Reptiles,23
Bhutan,0,1,43,0,97,Asia,South & Southeast Asia,Reptiles,3
British Indian Ocean Territory,0,69,1,0,86,Asia,South & Southeast Asia,Reptiles,2
Brunei Darussalam,0,9,127,0,224,Asia,South & Southeast Asia,Reptiles,8
Cambodia,1,78,37,0,264,Asia,South & Southeast Asia,Reptiles,21
Disputed Territory,0,1,0,0,8,Asia,South & Southeast Asia,Reptiles,0
India,7,128,396,0,1073,Asia,South & Southeast Asia,Reptiles,54
Indonesia,6,285,458,0,1332,Asia,South & Southeast Asia,Reptiles,37
Lao People's Democratic Republic,16,5,56,0,239,Asia,South & Southeast Asia,Reptiles,27
Malaysia,37,228,727,1,1301,Asia,South & Southeast Asia,Reptiles,56
Maldives,0,46,0,0,75,Asia,South & Southeast Asia,Reptiles,3
Myanmar,3,74,61,0,331,Asia,South & Southeast Asia,Reptiles,32
Nepal,1,2,18,0,107,Asia,South & Southeast Asia,Reptiles,9
Philippines,3,235,254,0,780,Asia,South & Southeast Asia,Reptiles,39
Singapore,0,173,62,0,306,Asia,South & Southeast Asia,Reptiles,6
Sri Lanka,0,130,297,0,598,Asia,South & Southeast Asia,Reptiles,12
Thailand,15,196,159,0,641,Asia,South & Southeast Asia,Reptiles,37
Timor-Leste,0,1,2,0,29,Asia,South & Southeast Asia,Reptiles,2
Viet Nam,30,122,231,0,692,Asia,South & Southeast Asia,Reptiles,73
Afghanistan,0,2,5,0,40,Asia,West & Central Asia,Reptiles,1
Armenia,2,7,74,0,116,Asia,West & Central Asia,Reptiles,7
Azerbaijan,2,5,44,0,100,Asia,West & Central Asia,Reptiles,9
Bahrain,0,13,0,0,41,Asia,West & Central Asia,Reptiles,4
Cyprus,5,10,22,0,79,Asia,West & Central Asia,Reptiles,5
Georgia,4,11,63,1,121,Asia,West & Central Asia,Reptiles,7
"Iran, Islamic Republic of",2,22,7,0,143,Asia,West & Central Asia,Reptiles,15
Iraq,1,16,2,0,72,Asia,West & Central Asia,Reptiles,3
Israel,11,63,23,0,193,Asia,West & Central Asia,Reptiles,11
Jordan,6,55,8,0,122,Asia,West & Central Asia,Reptiles,6
Kazakhstan,2,5,14,0,80,Asia,West & Central Asia,Reptiles,1
Kuwait,0,13,0,0,53,Asia,West & Central Asia,Reptiles,4
Kyrgyzstan,0,4,13,0,43,Asia,West & Central Asia,Reptiles,3
Lebanon,9,9,24,0,99,Asia,West & Central Asia,Reptiles,8
Oman,2,29,6,0,104,Asia,West & Central Asia,Reptiles,8
Pakistan,0,18,12,0,146,Asia,West & Central Asia,Reptiles,12
"Palestine, State of",2,2,6,0,36,Asia,West & Central Asia,Reptiles,4
Qatar,0,13,0,0,46,Asia,West & Central Asia,Reptiles,3
Saudi Arabia,1,58,4,0,136,Asia,West & Central Asia,Reptiles,3
Syrian Arab Republic,9,13,26,0,139,Asia,West & Central Asia,Reptiles,9
Tajikistan,0,3,12,0,47,Asia,West & Central Asia,Reptiles,5
Turkey,45,40,113,2,401,Asia,West & Central Asia,Reptiles,21
Turkmenistan,1,6,4,0,59,Asia,West & Central Asia,Reptiles,6
United Arab Emirates,0,15,0,0,60,Asia,West & Central Asia,Reptiles,4
Uzbekistan,1,2,16,0,62,Asia,West & Central Asia,Reptiles,7
Yemen,2,66,163,0,306,Asia,West & Central Asia,Reptiles,7
Albania,50,21,4,0,137,Europe,Europe,Reptiles,5
Andorra,3,5,0,0,14,Europe,Europe,Reptiles,1
Austria,43,31,17,8,127,Europe,Europe,Reptiles,1
Belgium,6,9,0,1,39,Europe,Europe,Reptiles,0
Bosnia and Herzegovina,18,24,3,0,96,Europe,Europe,Reptiles,3
Bulgaria,32,25,9,0,115,Europe,Europe,Reptiles,2
Croatia,49,30,8,1,181,Europe,Europe,Reptiles,4
Czechia,6,23,26,5,74,Europe,Europe,Reptiles,0
Denmark,5,11,1,3,49,Europe,Europe,Reptiles,0
Estonia,4,3,0,2,24,Europe,Europe,Reptiles,0
Faroe Islands,0,0,0,1,24,Europe,Europe,Reptiles,0
Finland,3,7,2,6,37,Europe,Europe,Reptiles,0
France,92,68,47,8,300,Europe,Europe,Reptiles,5
Germany,31,30,36,7,144,Europe,Europe,Reptiles,0
Gibraltar,3,2,1,0,33,Europe,Europe,Reptiles,0
Greece,178,130,72,1,503,Europe,Europe,Reptiles,10
Greenland,0,0,1,0,25,Europe,Europe,Reptiles,0
Guernsey,0,0,0,0,6,Europe,Europe,Reptiles,0
Holy See (Vatican City State),0,0,0,0,1,Europe,Europe,Reptiles,0
Hungary,8,26,43,2,105,Europe,Europe,Reptiles,1
Iceland,0,0,0,0,29,Europe,Europe,Reptiles,0
Ireland,4,2,3,2,54,Europe,Europe,Reptiles,1
Isle of Man,0,0,0,0,2,Europe,Europe,Reptiles,0
Italy,83,139,102,9,423,Europe,Europe,Reptiles,4
Jersey,1,0,0,0,7,Europe,Europe,Reptiles,0
Latvia,4,8,0,1,31,Europe,Europe,Reptiles,0
Liechtenstein,2,4,0,0,8,Europe,Europe,Reptiles,0
Lithuania,3,5,1,1,28,Europe,Europe,Reptiles,0
Luxembourg,5,2,0,0,11,Europe,Europe,Reptiles,0
"Macedonia, the former Yugoslav Republic of",71,15,4,1,125,Europe,Europe,Reptiles,2
Malta,3,2,4,0,39,Europe,Europe,Reptiles,1
Monaco,1,2,1,0,22,Europe,Europe,Reptiles,0
Montenegro,22,20,3,0,101,Europe,Europe,Reptiles,4
Netherlands,5,6,1,3,43,Europe,Europe,Reptiles,0
Norway,3,7,10,11,73,Europe,Europe,Reptiles,0
Poland,7,21,11,3,65,Europe,Europe,Reptiles,0
Portugal,86,118,101,4,410,Europe,Europe,Reptiles,5
Romania,25,43,7,0,125,Europe,Europe,Reptiles,2
San Marino,1,0,0,0,1,Europe,Europe,Reptiles,0
Serbia,8,27,6,1,77,Europe,Europe,Reptiles,1
Slovakia,7,25,25,3,81,Europe,Europe,Reptiles,0
Slovenia,32,51,7,4,147,Europe,Europe,Reptiles,2
Spain,164,124,247,6,686,Europe,Europe,Reptiles,20
Svalbard and Jan Mayen,0,0,0,0,10,Europe,Europe,Reptiles,0
Sweden,4,12,5,10,58,Europe,Europe,Reptiles,0
Switzerland,10,37,4,6,79,Europe,Europe,Reptiles,0
United Kingdom,7,13,42,6,133,Europe,Europe,Reptiles,1
Belize,0,12,46,0,130,North America,Mesoamerica,Reptiles,8
Costa Rica,1,30,143,0,349,North America,Mesoamerica,Reptiles,12
El Salvador,0,10,33,0,92,North America,Mesoamerica,Reptiles,10
Guatemala,2,11,120,0,315,North America,Mesoamerica,Reptiles,32
Honduras,0,21,134,0,317,North America,Mesoamerica,Reptiles,40
Mexico,8,103,484,1,1261,North America,Mesoamerica,Reptiles,98
Nicaragua,2,18,50,0,153,North America,Mesoamerica,Reptiles,9
Panama,0,22,212,0,392,North America,Mesoamerica,Reptiles,10
Anguilla,0,10,4,0,56,North America,Caribbean Islands,Reptiles,9
Antigua and Barbuda,0,11,4,0,58,North America,Caribbean Islands,Reptiles,7
Aruba,1,1,2,0,34,North America,Caribbean Islands,Reptiles,2
Bahamas,1,11,7,0,88,North America,Caribbean Islands,Reptiles,11
Barbados,0,11,3,0,57,North America,Caribbean Islands,Reptiles,7
Bermuda,0,28,8,0,74,North America,Caribbean Islands,Reptiles,4
"Bonaire, Sint Eustatius and Saba",0,11,3,0,57,North America,Caribbean Islands,Reptiles,6
Cayman Islands,1,10,22,0,75,North America,Caribbean Islands,Reptiles,7
Cuba,0,23,179,0,348,North America,Caribbean Islands,Reptiles,24
Curacao,0,11,2,0,51,North America,Caribbean Islands,Reptiles,5
Dominica,0,11,12,0,69,North America,Caribbean Islands,Reptiles,3
Dominican Republic,0,16,47,0,195,North America,Caribbean Islands,Reptiles,47
Grenada,0,10,3,0,55,North America,Caribbean Islands,Reptiles,7
Guadeloupe,1,15,10,0,78,North America,Caribbean Islands,Reptiles,9
Haiti,0,14,93,0,261,North America,Caribbean Islands,Reptiles,54
Jamaica,0,15,215,0,318,North America,Caribbean Islands,Reptiles,25
Martinique,2,0,9,0,54,North America,Caribbean Islands,Reptiles,8
Montserrat,0,11,6,0,58,North America,Caribbean Islands,Reptiles,4
Puerto Rico,0,0,64,0,139,North America,Caribbean Islands,Reptiles,16
Saint Barth_lemy,0,11,2,0,38,North America,Caribbean Islands,Reptiles,4
Saint Kitts and Nevis,0,10,2,0,54,North America,Caribbean Islands,Reptiles,6
Saint Lucia,0,11,7,0,64,North America,Caribbean Islands,Reptiles,7
Saint Martin (French part),0,10,3,0,55,North America,Caribbean Islands,Reptiles,8
Saint Vincent and the Grenadines,0,10,6,0,60,North America,Caribbean Islands,Reptiles,8
Sint Maarten (Dutch part),0,10,3,0,55,North America,Caribbean Islands,Reptiles,8
Trinidad and Tobago,0,10,50,0,119,North America,Caribbean Islands,Reptiles,7
Turks and Caicos Islands,0,10,9,0,62,North America,Caribbean Islands,Reptiles,7
"Virgin Islands, British",0,10,20,0,81,North America,Caribbean Islands,Reptiles,14
"Virgin Islands, U.S.",0,0,17,0,66,North America,Caribbean Islands,Reptiles,14
Canada,17,20,18,7,155,North America,North America,Reptiles,6
Saint Pierre and Miquelon,0,0,0,0,16,North America,North America,Reptiles,0
United States,311,269,510,24,1589,North America,North America,Reptiles,37
Argentina,0,14,70,1,273,South America,South America,Reptiles,26
"Bolivia, Plurinational States of",2,1,106,0,239,South America,South America,Reptiles,11
Brazil,22,34,558,0,1027,South America,South America,Reptiles,30
Chile,1,12,73,0,221,South America,South America,Reptiles,25
Colombia,4,49,268,0,861,South America,South America,Reptiles,35
Ecuador,49,21,1859,7,2372,South America,South America,Reptiles,63
Falkland Islands (Malvinas),0,0,5,0,22,South America,South America,Reptiles,0
French Guiana,0,0,18,0,74,South America,South America,Reptiles,7
Guyana,0,1,30,0,106,South America,South America,Reptiles,6
Paraguay,0,0,20,0,64,South America,South America,Reptiles,7
Peru,4,4,328,0,721,South America,South America,Reptiles,23
Suriname,0,1,27,0,85,South America,South America,Reptiles,6
Uruguay,0,2,22,0,112,South America,South America,Reptiles,6
"Venezuela, Bolivarian Republic of",1,25,86,0,342,South America,South America,Reptiles,25
American Samoa,5,60,1,0,93,Oceania,Oceania,Reptiles,6
Australia,174,360,108,1,1005,Oceania,Oceania,Reptiles,75
Christmas Island,0,19,1,0,40,Oceania,Oceania,Reptiles,3
Cocos (Keeling) Islands,0,20,0,0,35,Oceania,Oceania,Reptiles,1
Cook Islands,0,32,11,0,74,Oceania,Oceania,Reptiles,3
Fiji,68,97,78,0,300,Oceania,Oceania,Reptiles,15
French Polynesia,31,31,48,0,176,Oceania,Oceania,Reptiles,3
Guam,6,54,5,0,101,Oceania,Oceania,Reptiles,5
Kiribati,1,80,0,0,105,Oceania,Oceania,Reptiles,2
Marshall Islands,1,72,0,0,100,Oceania,Oceania,Reptiles,4
"Micronesia, Federated States of",3,111,5,0,168,Oceania,Oceania,Reptiles,7
Nauru,0,68,0,0,83,Oceania,Oceania,Reptiles,0
New Caledonia,28,97,350,0,592,Oceania,Oceania,Reptiles,54
New Zealand,35,26,21,3,219,Oceania,Oceania,Reptiles,15
Niue,0,30,0,0,51,Oceania,Oceania,Reptiles,4
Norfolk Island,12,11,2,0,45,Oceania,Oceania,Reptiles,2
Northern Mariana Islands,4,53,6,0,101,Oceania,Oceania,Reptiles,4
Palau,40,106,5,0,185,Oceania,Oceania,Reptiles,3
Papua New Guinea,2,176,179,2,524,Oceania,Oceania,Reptiles,13
Pitcairn,5,11,7,0,42,Oceania,Oceania,Reptiles,0
Samoa,1,62,2,0,94,Oceania,Oceania,Reptiles,5
Solomon Islands,2,148,16,0,241,Oceania,Oceania,Reptiles,6
Tokelau,0,35,0,0,49,Oceania,Oceania,Reptiles,3
Tonga,4,43,5,0,80,Oceania,Oceania,Reptiles,5
Tuvalu,1,77,0,0,97,Oceania,Oceania,Reptiles,3
United States Minor Outlying Islands,0,47,0,0,70,Oceania,Oceania,Reptiles,2
Vanuatu,3,88,10,0,139,Oceania,Oceania,Reptiles,4
Wallis and Futuna,0,64,1,0,88,Oceania,Oceania,Reptiles,2
Algeria,11,29,22,0,143,Africa,North Africa,Amphibians,3
Egypt,0,56,8,0,167,Africa,North Africa,Amphibians,0
Libya,0,4,7,0,67,Africa,North Africa,Amphibians,0
Morocco,37,32,52,2,228,Africa,North Africa,Amphibians,2
Tunisia,7,13,9,0,100,Africa,North Africa,Amphibians,1
Western Sahara,2,1,0,0,52,Africa,North Africa,Amphibians,0
Angola,7,4,34,0,155,Africa,Sub-Saharan Africa,Amphibians,0
Benin,2,1,20,0,95,Africa,Sub-Saharan Africa,Amphibians,0
Botswana,0,0,3,0,33,Africa,Sub-Saharan Africa,Amphibians,0
Burkina Faso,1,0,4,0,33,Africa,Sub-Saharan Africa,Amphibians,0
Burundi,3,3,89,0,142,Africa,Sub-Saharan Africa,Amphibians,1
Cabo Verde,13,0,51,0,116,Africa,Sub-Saharan Africa,Amphibians,0
Cameroon,13,12,555,0,846,Africa,Sub-Saharan Africa,Amphibians,56
Central African Republic,0,0,26,0,66,Africa,Sub-Saharan Africa,Amphibians,0
Chad,4,0,6,0,48,Africa,Sub-Saharan Africa,Amphibians,0
Comoros,0,76,9,0,120,Africa,Sub-Saharan Africa,Amphibians,0
Congo,7,0,46,0,139,Africa,Sub-Saharan Africa,Amphibians,1
"Congo, The Democratic Republic of the",44,10,148,0,390,Africa,Sub-Saharan Africa,Amphibians,11
Cªte d'Ivoire,5,2,118,0,262,Africa,Sub-Saharan Africa,Amphibians,14
Djibouti,1,56,3,0,107,Africa,Sub-Saharan Africa,Amphibians,0
Equatorial Guinea,2,2,98,0,187,Africa,Sub-Saharan Africa,Amphibians,4
Eritrea,1,57,6,0,136,Africa,Sub-Saharan Africa,Amphibians,0
Eswatini,0,0,13,0,41,Africa,Sub-Saharan Africa,Amphibians,0
Ethiopia,4,11,64,0,177,Africa,Sub-Saharan Africa,Amphibians,12
Gabon,2,2,173,0,284,Africa,Sub-Saharan Africa,Amphibians,3
Gambia,2,0,6,0,73,Africa,Sub-Saharan Africa,Amphibians,0
Ghana,2,3,119,0,245,Africa,Sub-Saharan Africa,Amphibians,11
Guinea,3,5,70,0,218,Africa,Sub-Saharan Africa,Amphibians,5
Guinea-Bissau,2,0,6,0,83,Africa,Sub-Saharan Africa,Amphibians,0
Kenya,20,71,243,0,505,Africa,Sub-Saharan Africa,Amphibians,11
Lesotho,0,3,4,0,20,Africa,Sub-Saharan Africa,Amphibians,0
Liberia,3,7,53,0,177,Africa,Sub-Saharan Africa,Amphibians,4
